risk_aversion,age,phase,cec_solved,cec_if_reset_to_average,cost_of_resetting_bp,dom_eq,intl_eq,bond,bill
5.0,61,working,1.1202964390632972,1.1202032914330604,0.8315243398149263,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,62,working,1.1202964390632972,1.1201792543931042,1.0461242674653093,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,63,retired,1.1202964390632972,1.1184513423159992,16.496888845225488,0.15000000000000002,0.55,0.0,0.3
5.0,64,retired,1.1202964390632972,1.1187678006646515,13.66358951104596,0.2,0.6000000000000001,0.0,0.2
5.0,65,retired,1.1202964390632972,1.1193294954381248,8.638596848500324,0.25,0.6499999999999999,0.0,0.1
5.0,66,retired,1.1202964390632972,1.1202782626925523,0.16224871400405405,0.1,0.8999999999999999,0.0,0.0
5.0,67,retired,1.1202964390632972,1.120078847221082,1.9426475444572766,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,68,retired,1.1202964390632972,1.1201341406111933,1.4489197875477977,0.15000000000000002,0.8500000000000001,0.0,0.0
5.0,69,retired,1.1202964390632972,1.120218075857719,0.6995352714533887,0.1,0.8999999999999999,0.0,0.0
5.0,70,retired,1.1202964390632972,1.119681736076863,5.489979577482096,0.2,0.8,0.0,0.0
5.0,71,retired,1.1202964390632972,1.120106566693943,1.695127722665113,0.15000000000000002,0.8,0.05,0.0
5.0,72,retired,1.1202964390632972,1.120155554070412,1.2577270395452977,0.15000000000000002,0.8499999999999999,0.0,0.0
5.0,73,retired,1.1202964390632972,1.1203031261285308,-0.05968978464498953,0.1,0.8999999999999999,0.0,0.0
5.0,74,retired,1.1202964390632972,1.1201059090787109,1.7009997272765531,0.2,0.8,0.0,0.0
5.0,75,retired,1.1202964390632972,1.1201517113111574,1.2920370578228813,0.2,0.8,0.0,0.0
5.0,76,retired,1.1202964390632972,1.1201360331660262,1.432021580607401,0.2,0.8,0.0,0.0
5.0,77,retired,1.1202964390632972,1.1202715638112253,0.2220466257951692,0.05,0.8999999999999999,0.05,0.0
5.0,78,retired,1.1202964390632972,1.120174417013238,1.0893129516809097,0.2,0.8,0.0,0.0
5.0,79,retired,1.1202964390632972,1.1201960154896935,0.8964821532586598,0.0,1.0,0.0,0.0
5.0,80,retired,1.1202964390632972,1.1201747808754292,1.0860643351828791,0.2,0.8,0.0,0.0
5.0,81,retired,1.1202964390632972,1.120262949424554,0.29894444657285746,0.0,1.0,0.0,0.0
5.0,82,retired,1.1202964390632972,1.1202627762198043,0.3004906010217745,0.05,0.95,0.0,0.0
5.0,83,retired,1.1202964390632972,1.120234319749739,0.5545207146662179,0.25,0.75,0.0,0.0
5.0,84,retired,1.1202964390632972,1.1202852909553416,0.09951133024488357,0.05,0.95,0.0,0.0
5.0,85,retired,1.1202964390632972,1.1202484410492433,0.42845865519725024,0.2,0.8,0.0,0.0
5.0,86,retired,1.1202964390632972,1.1202802982341682,0.14407848780706445,0.0,0.8999999999999999,0.1,0.0
5.0,87,retired,1.1202964390632972,1.1202888810379108,0.06746496831633308,0.0,1.0,0.0,0.0
5.0,88,retired,1.1202964390632972,1.1202953565203053,0.009663014182148544,0.10000000000000002,0.9000000000000001,0.0,0.0
5.0,89,retired,1.1202964390632972,1.120290234269695,0.05538559038065216,0.2,0.8,0.0,0.0
5.0,90,retired,1.1202964390632972,1.1202912424619897,0.04638616379892824,0.45,0.55,0.0,0.0
