iso,start_year,end_year,international_equity,balanced_all_equity,gap_pct,first_wins,ruin_first,ruin_second
GBR,1944,2011,1.228286825570239,1.3697511437423777,-10.327738642045281,False,False,False
GBR,1945,2012,1.2219715667346898,1.406766186045489,-13.136128885089915,False,False,False
GBR,1946,2013,1.371483781203816,1.5638196584084791,-12.299108543014858,False,False,False
GBR,1947,2014,1.4563863787459155,1.7010579516408035,-14.383494263607133,False,False,False
GBR,1948,2015,1.6150323015364152,1.8470603632981788,-12.562018349386573,False,False,False
GBR,1949,2016,2.02309598142093,2.191331801464209,-7.677332110585311,False,False,False
GBR,1950,2017,1.7995179404127393,2.0494774864062757,-12.196257224168694,False,False,False
GBR,1951,2018,1.9112419098641809,2.1133759267363823,-9.564508344918565,False,False,False
GBR,1952,2019,2.2060268091744595,2.421175557738759,-8.886127562151513,False,False,False
GBR,1953,2020,1.7110866303701804,1.945468281588082,-12.047569905718348,False,False,False
ITA,1922,1989,1.2907743791701818,1.38599031575126,-6.86988469536799,False,False,True
ITA,1923,1990,1.3190242197351565,1.341537436652743,-1.6781653871515534,False,False,True
ITA,1924,1991,1.349380228552277,1.2951846783508567,4.184387841155335,True,False,True
ITA,1925,1992,1.2812564596623135,1.2491947253996645,2.566592190212069,True,False,True
ITA,1926,1993,1.2868732115392294,1.2371847753094847,4.016250217540462,True,False,True
ITA,1927,1994,1.2772396584471355,1.2941463623716365,-1.3063981336328911,False,False,False
ITA,1928,1995,1.2404781550518438,1.2925199967771006,-4.026385808732025,False,False,True
ITA,1929,1996,1.188285009057679,1.2642545652181998,-6.009039496520153,False,False,False
ITA,1930,1997,1.2197514761342176,1.2743813682753213,-4.28677737301173,False,False,False
ITA,1931,1998,1.3231863562071455,1.2540475571204759,5.513251765780325,True,False,True
ITA,1932,1999,1.3867800886298118,1.1763497389510604,17.888417254751985,True,False,True
ITA,1933,2000,1.3325454963603223,1.2724280198625406,4.724626899074114,True,False,False
ITA,1934,2001,1.3463822966201549,1.2086898722866417,11.391873754433114,True,False,False
ITA,1935,2002,1.4875060334605203,1.263785176494719,17.70244351071768,True,False,False
ITA,1936,2003,1.57448990760066,1.141748939645697,37.90158702396076,True,False,True
ITA,1937,2004,1.3379881682919506,1.0957056636988523,22.112006227585603,True,False,False
ITA,1938,2005,1.3676918321258156,1.066548340454083,28.235334513156786,True,False,False
ITA,1939,2006,1.4335075548379121,1.0412393079723092,37.673207673027555,True,False,False
ITA,1940,2007,1.3175632732015568,0.944779399683065,39.45723982164995,True,False,False
ITA,1941,2008,1.319090862898533,0.9671512272959151,36.389307656323375,True,False,False
ITA,1942,2009,1.2899892674270603,0.9535264656156087,35.28615239790194,True,False,False
ITA,1943,2010,1.3247741281087924,1.030864836083281,28.51094360170483,True,False,False
ITA,1944,2011,1.3596728118145711,1.0260492862415154,32.51535087511637,True,False,False
ITA,1945,2012,1.323072246745043,0.9794414683635086,35.08436077917825,True,False,False
ITA,1946,2013,1.5333472278441023,1.0519424439601575,45.76341478072141,True,False,False
ITA,1947,2014,1.5487333817208728,1.061475142101899,45.90387662344315,True,False,False
ITA,1948,2015,1.7564898463686363,1.260658361200606,39.33115429431795,True,False,False
ITA,1949,2016,1.8564384277620438,1.4478749738369225,28.218144612473893,True,False,False
ITA,1950,2017,1.770356686789866,1.2926414618093227,36.95651416842847,True,False,False
ITA,1951,2018,1.9354922933298673,1.3932388955579829,38.92034592923963,True,False,False
ITA,1952,2019,2.0081044494017726,1.422844109708061,41.1331315708082,True,False,False
ITA,1953,2020,1.6514306334398285,1.1942700523485574,38.27949802410728,True,False,False
JPN,1948,2015,1.1044561124666048,1.6982063551502256,-34.96337420260666,False,False,False
JPN,1949,2016,1.1967642406238104,1.868726310642453,-35.958292350880825,False,False,False
JPN,1950,2017,1.1249892055731794,1.918529450442911,-41.36190063105547,False,False,False
JPN,1951,2018,1.1973626279526717,1.9760793802202272,-39.40715945230754,False,False,False
JPN,1952,2019,1.3774966547917677,2.1750453097789286,-36.66813980386567,False,False,False
JPN,1953,2020,1.251818626786012,1.815286809508223,-31.040173914713755,False,False,False
NLD,1900,1967,1.4084106836157748,1.2823902783387393,9.826993186527222,True,False,False
NLD,1901,1968,1.3549705792943547,1.2345737400200332,9.752097859490183,True,False,False
NLD,1902,1969,1.374504742074483,1.226554565363206,12.06225804291603,True,False,False
NLD,1903,1970,1.332289439443988,1.4701806959288597,-9.379204669651308,False,False,False
NLD,1904,1971,1.3686624842890829,1.3395914611173303,2.1701409732415744,True,False,False
NLD,1905,1972,1.398471512205981,1.3550712727437664,3.202801235269148,True,False,False
NLD,1906,1973,1.4117859285286862,1.4095663054462055,0.15746851169076148,True,False,False
NLD,1907,1974,1.3998978628338652,1.4058219613291476,-0.4213974925872832,False,False,False
NLD,1908,1975,1.496804742330177,1.373481132304868,8.97890820082523,True,False,False
NLD,1909,1976,2.252245233760022,1.6268042145750052,38.44599206109201,True,False,False
NLD,1910,1977,1.9076160551933503,1.5884432542613163,20.09343425242225,True,False,False
NLD,1911,1978,1.5364675550335438,1.479646953649321,3.8401458702080005,True,False,False
NLD,1912,1979,1.6428032164947786,1.4864177306588,10.52096477392439,True,False,False
NLD,1913,1980,1.6432564962941976,1.4533966031218395,13.063185421277733,True,False,False
NLD,1914,1981,1.7549235100667935,1.4622957647701091,20.01152929159231,True,False,False
