iso,start_year,end_year,domestic_annualised,sleeve_annualised,excess_pp
FIN,1911,1978,0.02219648947267272,0.053247351062964965,3.1050861590292245
FIN,1912,1979,0.02388797733785175,0.05320790505929485,2.9319927721443095
FIN,1913,1980,0.02628470559383933,0.05408322695321899,2.7798521359379658
FIN,1914,1981,0.02699574746118283,0.05358933931162513,2.65935918504423
FIN,1915,1982,0.03048152098030288,0.05325893730548348,2.27774163251806
FIN,1916,1983,0.03657736221559249,0.05545868512785823,1.888132291226574
FIN,1917,1984,0.029660401887647625,0.057419425755051545,2.775902386740392
FIN,1918,1985,0.03954599912526269,0.0732610757824399,3.371507665717721
FIN,1919,1986,0.06135344749980676,0.09114318770408647,2.9789740204279713
FIN,1920,1987,0.06261868318024444,0.0714424441575865,0.8823760977342054
FIN,1921,1988,0.06728925949307718,0.07955523831382316,1.2265978820745982
FIN,1922,1989,0.07109454546259575,0.0762757966147205,0.5181251152124755
FIN,1923,1990,0.06196404942681544,0.07410005762371452,1.2136008196899084
FIN,1924,1991,0.05731947766822043,0.07112979354823268,1.3810315880012247
FIN,1925,1992,0.05895190686517071,0.07119451238711694,1.2242605521946226
FIN,1926,1993,0.0645278500835289,0.07572950795612043,1.120165787259153
FIN,1927,1994,0.06145036382907865,0.07104070268450213,0.9590338855423486
FIN,1928,1995,0.05193360432849814,0.06886526088841283,1.6931656559914687
FIN,1929,1996,0.059922827053935146,0.0704576860856796,1.0534859031744448
FIN,1930,1997,0.06690634207049961,0.07659249060800688,0.9686148537507266
FIN,1931,1998,0.07455687897583752,0.0803892381563105,0.5832359180472979
FIN,1932,1999,0.08740943366028198,0.08441741968400773,-0.29920139762742437
FIN,1933,2000,0.08508653819752432,0.0818091433729069,-0.3277394824617419
FIN,1934,2001,0.07263748356880773,0.07489259868846476,0.22551151196570363
FIN,1935,2002,0.0636833774910921,0.06871070146944391,0.5027323978351816
FIN,1936,2003,0.06300110683885474,0.06888981372653102,0.5888706887676287
FIN,1937,2004,0.05825917058985497,0.06898063154580014,1.0721460955945172
FIN,1938,2005,0.06377871650004607,0.07456468983169318,1.0785973331647103
FIN,1939,2006,0.06683169497809027,0.07823489971642794,1.140320473833767
FIN,1940,2007,0.07127246825712796,0.07894102796961011,0.7668559712482148
FIN,1941,2008,0.059031259626180166,0.06758073682805166,0.8549477201871492
FIN,1942,2009,0.05914827944731149,0.07244498980036207,1.3296710353050578
FIN,1943,2010,0.06053795979179366,0.07480158282217553,1.4263623030381867
FIN,1944,2011,0.0572735052528337,0.07294597124551871,1.5672465992685014
FIN,1945,2012,0.060449095379185414,0.07490368003730064,1.4454584658115222
FIN,1946,2013,0.05849791066007648,0.06745118288305818,0.8953272222981701
FIN,1947,2014,0.0704460224441712,0.060615690552010326,-0.9830331892160871
FIN,1948,2015,0.07682324753502012,0.06665009945259404,-1.0173148082426087
FIN,1949,2016,0.08774889882321513,0.0690654855204118,-1.868341330280332
FIN,1950,2017,0.08379543946039925,0.07111226997261677,-1.2683169487782475
FIN,1951,2018,0.07572658902308338,0.06485871592937542,-1.0867873093707958
FIN,1952,2019,0.07885393670611651,0.06904151887012189,-0.9812417835994625
FIN,1953,2020,0.08378321028398927,0.06898578919679932,-1.4797421087189955
FRA,1922,1989,-0.01714701031637833,0.08917855637895,10.632556669532834
FRA,1923,1990,-0.02474350908516243,0.08316485924123374,10.790836832639616
FRA,1924,1991,-0.024746544068225185,0.0732806306323659,9.802717470059108
FRA,1925,1992,-0.02301104118123054,0.07153864298385826,9.45496841650888
FRA,1926,1993,-0.020007345037768576,0.07338990363115516,9.339724866892373
FRA,1927,1994,-0.021797701792469204,0.06860281268090795,9.040051447337715
FRA,1928,1995,-0.02441358291960094,0.06949673712657667,9.391032004617761
FRA,1929,1996,-0.02652284680931538,0.07109349840987922,9.76163452191946
FRA,1930,1997,-0.022304075657355815,0.07833649543743948,10.06405710947953
