credit,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
0.3,domestic_070,70% domestic equity,1.0226501419096103,1.207314382421415,0.13576,22.31794526742224,51.498485484740414,0.7294957660857974,1.8211088583152188,100000
0.3,domestic_080,80% domestic equity,0.9949197785804553,1.1640410890995367,0.15356,21.992676985671487,48.46489817551742,0.7079078981898638,1.826831501793029,100000
0.3,domestic_090,90% domestic equity,0.9665743519387979,1.120893705860863,0.17394,21.514155498411796,44.31657854013382,0.6868024379293632,1.8304079275552418,100000
0.3,domestic_100,100% domestic equity,0.9380406160707063,1.0790695415847058,0.19876,20.88802488397295,39.14271993562605,0.6637822565636287,1.8312548328542229,100000
0.35,balanced_all_equity,50/50 Domestic/International Equity,1.0793240489006435,1.2988940558930722,0.10256,23.09824148088962,57.4218498279798,0.7711165509559701,1.8330409402592018,100000
0.35,domestic_equity,100% Domestic Equity,0.9478782999186337,1.0940685155162593,0.19004,21.831254382825243,44.770758184740814,0.670873901684693,1.8926160976279183,100000
0.35,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.35,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.912862649826955,1.0259749631943205,0.19369,15.91062481572182,19.26319864573095,0.6501659430051279,1.4305050536673882,100000
0.35,target_date_fund,Target-Date Fund (glide path),0.9682053696808318,1.0900858324603793,0.20429,18.008466768110367,11.939853769913796,0.7007900380767201,1.50386047850866,100000
0.35,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.35,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.35,domestic_010,10% domestic equity,1.072961239610411,1.2935146868187561,0.10255,21.80946133283215,47.11497804793608,0.7704383278398158,1.7554770540551439,100000
0.35,domestic_020,20% domestic equity,1.0903129265414628,1.3196471853821772,0.09112,22.3063174291617,50.54634973460843,0.7792470537662779,1.7776107170313968,100000
0.35,domestic_030,30% domestic equity,1.0971487799080883,1.3295166878307487,0.08886,22.67362321188445,53.57336614588965,0.7837904091649762,1.797792212117929,100000
0.35,domestic_040,40% domestic equity,1.0931092325948035,1.3220364104072846,0.09323,22.9315909196222,56.06678875429304,0.7802373592738013,1.8161926252410419,100000
0.35,domestic_050,50% domestic equity,1.0793240489006435,1.2988940558930722,0.10256,23.09824148088962,57.4218498279798,0.7711165509559701,1.8330409402592018,100000
0.35,domestic_060,60% domestic equity,1.0581424440169451,1.2642508622356838,0.11559,23.134390684795903,57.49032903376411,0.7561416465528384,1.8481663840776499,100000
0.35,domestic_070,70% domestic equity,1.0326228929752903,1.2232274029521712,0.131,23.037555259059793,56.37349553681126,0.7361763717662373,1.8619615528324067,100000
0.35,domestic_080,80% domestic equity,1.005025963902667,1.1798783073681187,0.14745,22.808046453533887,53.72322065704234,0.7147627981765649,1.8743932232923401,100000
0.35,domestic_090,90% domestic equity,0.9765858931931516,1.1364048561418167,0.16734,22.40954978765855,49.93098463587033,0.693703803416265,1.884860064993176,100000
0.35,domestic_100,100% domestic equity,0.9478782999186337,1.0940685155162593,0.19004,21.831254382825243,44.770758184740814,0.670873901684693,1.8926160976279183,100000
0.4286,balanced_all_equity,50/50 Domestic/International Equity,1.0934519529045224,1.3220505879086772,0.0965,23.94537286868744,63.42594646668663,0.7802428122765732,1.878714783140157,100000
0.4286,domestic_equity,100% Domestic Equity,0.9634935195748399,1.1180432028033478,0.17838,23.426318820320667,54.8623685648581,0.6815288490233,1.9963628409648817,100000
0.4286,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.4286,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.9227355451554291,1.0408691641963783,0.18438,16.55464787035853,22.000504924874583,0.6562602572226677,1.465982399040766,100000
0.4286,target_date_fund,Target-Date Fund (glide path),0.9768550461749494,1.1028703789116294,0.19896,18.577986867600718,12.868771333180865,0.7071637010743794,1.532643857385633,100000
0.4286,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
0.4286,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
0.4286,domestic_010,10% domestic equity,1.0760218907155368,1.2986570041628427,0.10095,21.961157039267682,48.08912936917504,0.7726274232882291,1.7636437217009413,100000
