rule,rate,can_deplete,strategy,cec,prob_ruin,mean_retirement_consumption,n_paths
endowment,0.06,True,reteq_equity_010,1.0052315872763138,0.0418,1.7427397625178236,20000
endowment,0.06,True,reteq_equity_020,1.0306356042981808,0.0334,1.8059063854974406,20000
endowment,0.06,True,reteq_equity_030,1.0560401157305455,0.01975,1.8738183909266481,20000
endowment,0.06,True,reteq_equity_040,1.0806740027082846,0.01545,1.9467383006597287,20000
endowment,0.06,True,reteq_equity_050,1.1044473813743103,0.01295,2.0249951904087253,20000
endowment,0.06,True,reteq_equity_060,1.1271021576521887,0.00585,2.1088866284543846,20000
endowment,0.06,True,reteq_equity_070,1.1476101704586255,0.0043,2.19871608706386,20000
endowment,0.06,True,reteq_equity_080,1.166002344683493,0.003,2.2948775526155645,20000
endowment,0.06,True,reteq_equity_090,1.1816388903516852,0.0025,2.3977678323318745,20000
endowment,0.06,True,reteq_equity_100,1.1941275411609606,0.0022,2.5078304856286073,20000
endowment,0.06,True,retdom_domestic_000,1.2300113751352577,0.0042,2.6294478719751635,20000
endowment,0.06,True,retdom_domestic_010,1.2332308749172782,0.00295,2.606543963863961,20000
endowment,0.06,True,retdom_domestic_020,1.230772537344142,0.00265,2.582957933386774,20000
endowment,0.06,True,retdom_domestic_030,1.2233406748381381,0.0023,2.5586526892345796,20000
endowment,0.06,True,retdom_domestic_040,1.2110787091120285,0.00175,2.5336119754126005,20000
endowment,0.06,True,retdom_domestic_050,1.1941275411609606,0.0022,2.5078304856286073,20000
endowment,0.06,True,retdom_domestic_060,1.1733109005446059,0.0026,2.4813425738608452,20000
endowment,0.06,True,retdom_domestic_070,1.1493093830759025,0.0061,2.454214016716844,20000
endowment,0.06,True,retdom_domestic_080,1.1229062779810652,0.0142,2.4265009333798755,20000
endowment,0.06,True,retdom_domestic_090,1.094676070008937,0.0266,2.3982707064264543,20000
endowment,0.06,True,retdom_domestic_100,1.0661429059213963,0.03475,2.3697359678050636,20000
constant_percent,0.07,False,equity_000,0.7727115628473872,0.0,0.9916408749029247,20000
constant_percent,0.07,False,equity_010,0.8038271521106936,0.0,1.0535461900724568,20000
constant_percent,0.07,False,equity_020,0.8390425340459555,0.0,1.127449358236061,20000
constant_percent,0.07,False,equity_030,0.878315066963058,0.0,1.2155991959202894,20000
constant_percent,0.07,False,equity_040,0.921344015979243,0.0,1.3206361097186914,20000
constant_percent,0.07,False,equity_050,0.9675375255786679,0.0,1.4456560978548965,20000
constant_percent,0.07,False,equity_060,1.0160024120211641,0.0,1.594286269918285,20000
constant_percent,0.07,False,equity_070,1.065525202165081,0.0,1.770774908603088,20000
constant_percent,0.07,False,equity_080,1.114544148696986,0.0,1.9801001383008225,20000
constant_percent,0.07,False,equity_090,1.1611631202936243,0.0,2.228102649289991,20000
constant_percent,0.07,False,equity_100,1.2032445879632478,0.0,2.521649748250113,20000
constant_percent,0.07,False,domestic_000,1.3056260579110535,0.0,2.9528960820240258,20000
constant_percent,0.07,False,domestic_010,1.3170827491876245,0.0,2.85599760489681,20000
constant_percent,0.07,False,domestic_020,1.311791511270881,0.0,2.7659326954076584,20000
constant_percent,0.07,False,domestic_030,1.2890652194379726,0.0,2.6810018634394246,20000
constant_percent,0.07,False,domestic_040,1.2512416935578539,0.0,2.5998964838971306,20000
