iso,country,tier,series,n_years,first_year,last_year,mean,geometric_mean,std,min,max,skew,kurtosis,ar1,ar2
FIN,Finland,A,inflation,125,1896,2020,0.08097131826124229,0.06661318355460384,0.2430517924071336,-0.11340766929562152,2.414113277623027,7.723397907010212,70.40133560928633,0.3409060742123838,0.10888542849748249
FRA,France,A,dom_eq,124,1890,2020,0.03581685957783092,0.01050380571847177,0.23251698537245102,-0.46065583317631487,1.1585566997528076,0.8641230407656839,3.6608717257359515,0.15278368780176607,0.010776531600406015
FRA,France,A,intl_eq,124,1890,2020,0.10290962084128565,0.07599519374632736,0.31656089141321636,-0.44946599852223446,3.0062848958947255,6.395235582097557,58.047174089028175,-0.17835927929687598,-0.05240578719742912
FRA,France,A,bond,124,1890,2020,0.008034095806404537,-0.0009222358522748896,0.12771733391021597,-0.47203388763280907,0.31714183640093885,-0.7941674714911792,2.1985625394467876,0.3738771270008702,0.441278215559582
FRA,France,A,bill,124,1890,2020,-0.010263130367054672,-0.014057936398861009,0.08049673150964788,-0.3564158053598546,0.1287573342521986,-2.4173574775522253,6.921492060263223,0.7888813695200576,0.6642379687608483
FRA,France,A,inflation,124,1890,2020,0.0599087598562308,0.05535171768539177,0.10680191124711064,-0.09278350515463918,0.5862726406101049,2.9036192325731838,10.081713390842346,0.7723797044232921,0.631456640640801
GBR,United Kingdom,A,dom_eq,131,1890,2020,0.06554990126700924,0.04933599131817585,0.1868496529697248,-0.5696518080613707,1.0342776659584465,0.9022344667620157,5.705267781048587,-0.04523489992573281,-0.14161175156353775
GBR,United Kingdom,A,intl_eq,131,1890,2020,0.07996651982376564,0.06616286648231019,0.17619409565138056,-0.3307468787314125,0.9256638822155772,0.9047709776032439,4.121456306064822,0.04294712866082826,-0.07059253165285836
GBR,United Kingdom,A,bond,131,1890,2020,0.020672364843468488,0.014262548869162691,0.11572425660319936,-0.3251365791630888,0.4406383894307413,0.5849911897623266,2.3990371772267567,0.19603946706637057,0.13988641422614762
GBR,United Kingdom,A,bill,131,1890,2020,0.00769860404553349,0.006463690846631383,0.04950972055468991,-0.16301917034787494,0.19267441765513538,-0.5187814376743755,2.8499498616826457,0.7500592727089014,0.496949922443912
GBR,United Kingdom,A,inflation,131,1890,2020,0.036880521279915354,0.03541686379700753,0.05633344248353111,-0.14000000000000012,0.252,1.2287690934797346,3.2936580605624703,0.7602662369235539,0.5125532909174089
ITA,Italy,A,dom_eq,124,1890,2020,0.06084523776367474,0.025557962251181187,0.2681819948838091,-0.7288679930335644,1.2047048218679164,0.6612418174356739,2.9036883535614297,-0.039995286007070446,-0.0884034030685966
ITA,Italy,A,intl_eq,124,1890,2020,0.0901389870253448,0.06027283273400675,0.3205716542880796,-0.4979973166022771,3.0062848958947255,6.074793398970926,55.961353932037824,0.006713680655744027,-0.12878733603809675
ITA,Italy,A,bond,124,1890,2020,0.019836262939590888,0.0067700431996398245,0.14202683949623246,-0.7008150245376388,0.501774401391716,-1.5342581696639146,8.138420416755013,0.4643613795825666,0.319967420137813
