variant,age,p10,p50,p90
Constant real (4%-rule style),67,0.8804804402121377,1.5649759097053648,3.2164500107975904
Constant real (4%-rule style),68,0.8804804402121377,1.5649759097053648,3.216237436888685
Constant real (4%-rule style),69,0.8804464660880691,1.5645268759810578,3.2152488278714806
Constant real (4%-rule style),70,0.8784986773893864,1.5637438103755272,3.2140992143954445
Constant real (4%-rule style),71,0.8774345789923853,1.5634063500978859,3.213721719840176
Constant real (4%-rule style),72,0.8751697866377204,1.562141219026329,3.2129584965060505
Constant real (4%-rule style),73,0.870635889874459,1.5597830692660728,3.2105142192510905
Constant real (4%-rule style),74,0.8638534803108251,1.5572153978910106,3.2028364623489565
Constant real (4%-rule style),75,0.8547714881328732,1.5520812929836025,3.1978614318488257
Constant real (4%-rule style),76,0.8435811667188737,1.54712446001491,3.1871412906894094
Constant real (4%-rule style),77,0.8328713560915616,1.5402972881308756,3.1794445812970187
Constant real (4%-rule style),78,0.8213349177942153,1.5318798703152483,3.170041722283414
Constant real (4%-rule style),79,0.8063647415490561,1.5240963997988537,3.157707455835758
Constant real (4%-rule style),80,0.7918050258955344,1.5129212327431136,3.146955324941911
Constant real (4%-rule style),81,0.7734332916290426,1.5023154825371994,3.1351276184980907
Constant real (4%-rule style),82,0.7551951915311901,1.4884694060285215,3.1207677002041416
Constant real (4%-rule style),83,0.7330517311396637,1.475328562051168,3.1020257802742552
Constant real (4%-rule style),84,0.7133621075634335,1.4604906250910408,3.0925633554238314
Constant real (4%-rule style),85,0.6973090733121509,1.447140750329898,3.0754862295362977
Constant real (4%-rule style),86,0.6826337768921361,1.4319911447117146,3.0607462092900874
Constant real (4%-rule style),87,0.6682980506454962,1.416911360902744,3.0457292821742916
Constant real (4%-rule style),88,0.6551897338527459,1.404781847954422,3.0314840304944535
Constant real (4%-rule style),89,0.6440835705420469,1.3908462183155135,3.020177506197067
Constant real (4%-rule style),90,0.6341243026730687,1.3755131256803352,3.00628145045565
Constant real (4%-rule style),91,0.6256721163676171,1.361494549127042,2.996364094346519
Constant real (4%-rule style),92,0.6163755423531918,1.3500225560834571,2.984108536862544
