differential,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
0.0075,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.0075,target_date_fund,Target-Date Fund (glide path),0.9278174415493831,1.0309838035874375,0.23354,15.515572526982178,8.103522062766952,0.6713580778068556
0.0075,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.01,balanced_all_equity,50/50 Domestic/International Equity,1.0007044525005218,1.1709582875737756,0.14498,18.720284125072027,30.790263621635518,0.7168954194281963
0.01,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.01,international_equity,100% International Equity,1.0070629118525949,1.1879528573204354,0.14446,19.062202191029968,30.793231828216367,0.7260040622115219
0.01,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8706869896186361,0.9630499276769333,0.24212,13.336937897658256,10.196712230131132,0.6225299301076345
0.01,target_date_fund,Target-Date Fund (glide path),0.923024228186152,1.0240110885511677,0.23751,15.243879862187626,7.712318859901199,0.6678405526018597
0.01,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927
0.015,balanced_all_equity,50/50 Domestic/International Equity,0.9788331801305878,1.135874167669767,0.16034,17.610743358037137,25.340799491660377,0.7024229504818571
0.015,domestic_equity,100% Domestic Equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549
0.015,international_equity,100% International Equity,0.9630220969200274,1.1170018322059558,0.17831,16.869950751996335,20.673459241870688,0.6961805542968698
