claim_arm,system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
unadjusted,us,1.15,0.720304998125777,0.18519,1.067529819507492,100000,0.7181982729821847,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.2,0.6945392125145314,0.18519,1.067529819507492,100000,0.6917453063097807,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.25,0.6701614673542728,0.18519,1.067529819507492,100000,0.6668440853678511,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.3,0.6471284550768917,0.18519,1.067529819507492,100000,0.6434172865172474,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.4,0.6048561819699966,0.18519,1.067529819507492,100000,0.6006427492999762,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.5,0.5671834034837478,0.18519,1.067529819507492,100000,0.562724617987458,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.75,0.48954469405002216,0.18519,1.067529819507492,100000,0.48503511239415237,52,27,41,1.0,0.6419934795180783
unadjusted,us,2.0,0.4298280736732147,0.18519,1.067529819507492,100000,0.4255764013064194,52,27,41,1.0,0.6419934795180783
unadjusted,us,1.0,0.8035329728081914,0.16931,1.2050875888273809,100000,0.8028966551551946,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.05,0.7708105113627547,0.16931,1.2050875888273809,100000,0.7690562368407017,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.1,0.7400791157744387,0.16931,1.2050875888273809,100000,0.7374892802110666,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.15,0.7112698396010111,0.16931,1.2050875888273809,100000,0.708061750691183,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.2,0.6842867096669363,0.16931,1.2050875888273809,100000,0.6806269534650765,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.25,0.6590197422682003,0.16931,1.2050875888273809,100000,0.6550357579785866,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.3,0.6353536656395572,0.16931,1.2050875888273809,100000,0.6311428421876627,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.4,0.5923682927271656,0.16931,1.2050875888273809,100000,0.5879093248547432,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.5,0.5544680611282073,0.16931,1.2050875888273809,100000,0.5499372602758203,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.75,0.47726845827523284,0.16931,1.2050875888273809,100000,0.4729123717863778,55,30,38,1.0,0.6518163291711854
unadjusted,us,2.0,0.418477104403954,0.16931,1.2050875888273809,100000,0.41445927484772127,55,30,38,1.0,0.6518163291711854
unadjusted,us,1.0,0.7914746134534846,0.15081,1.3718930444852877,100000,0.7894210980132754,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.05,0.7572163849289055,0.15081,1.3718930444852877,100000,0.7544066296136532,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.1,0.7254311417709058,0.15081,1.3718930444852877,100000,0.7220835428758067,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.15,0.6959303894128392,0.15081,1.3718930444852877,100000,0.6922066088493752,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.2,0.6685267910664753,0.15081,1.3718930444852877,100000,0.6645465916778979,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.25,0.6430410760482219,0.15081,1.3718930444852877,100000,0.6388932742117036,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.3,0.6193056575436112,0.15081,1.3718930444852877,100000,0.6150561698545017,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.4,0.576481910267411,0.15081,1.3718930444852877,100000,0.5721631588317891,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.5,0.538980802153091,0.15081,1.3718930444852877,100000,0.5347023670909848,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.75,0.46315151461985277,0.15081,1.3718930444852877,100000,0.4591712907062681,58,33,35,1.0,0.6580829623919994
unadjusted,us,2.0,0.40575827295465605,0.15081,1.3718930444852877,100000,0.40214049630061366,58,33,35,1.0,0.6580829623919994
unadjusted,us,1.0,0.7784341033931903,0.1391,1.5002774609044733,100000,0.7759527102805367,60,35,33,1.0,0.6602356792146212
unadjusted,us,1.05,0.7438012257185025,0.1391,1.5002774609044733,100000,0.740764280838488,60,35,33,1.0,0.6602356792146212
unadjusted,us,1.1,0.7118508655853951,0.1391,1.5002774609044733,100000,0.7084323238012828,60,35,33,1.0,0.6602356792146212
