dropped,n_markets,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption
FIN,15,balanced_all_equity,50/50 Domestic/International Equity,1.0463465031351973,1.2422766258113291,0.11418,20.721744749236358,42.784041726145944,0.7470318820174612
FIN,15,domestic_equity,100% Domestic Equity,0.8829038169342933,0.9917580388524913,0.24944,15.929058062410231,16.694541594044573,0.6245455892013584
FIN,15,international_equity,100% International Equity,1.1061601644369647,1.3480815594664286,0.08909,23.756872958551355,60.90355962278901,0.791335778424589
FIN,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8733188033389406,0.9630410998554093,0.23578,13.250097989066358,10.25586935010123,0.621709367591191
FIN,15,target_date_fund,Target-Date Fund (glide path),0.9462552642262623,1.0527145626151277,0.21408,16.12600541251579,9.402361518263262,0.680839702203197
FIN,15,bills_only,100% Bills (cash),0.7438370734675146,0.7714240196451326,0.55177,6.473199287037101,0.0,0.5439152690865852
FRA,15,balanced_all_equity,50/50 Domestic/International Equity,1.0810920430629254,1.3042464259105273,0.09875,22.604397431778278,54.38307084569827,0.772085922124204
FRA,15,domestic_equity,100% Domestic Equity,0.9012328472812783,1.025839575487095,0.23223,16.675223737730413,19.387516627113847,0.6409646953778082
FRA,15,international_equity,100% International Equity,1.1417249256796373,1.4146969178736675,0.07675,26.09869104739158,78.4412337411498,0.8169494596897657
FRA,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8865724052323789,0.986247370939755,0.22186,13.68146421221727,11.457289413553433,0.6328861463868686
FRA,15,target_date_fund,Target-Date Fund (glide path),0.9665156935434877,1.0857140839887576,0.19916,17.13865220537114,10.915997806446397,0.6982231850070293
FRA,15,bills_only,100% Bills (cash),0.7428261363518118,0.7708271261071382,0.55196,6.469391462082667,0.0,0.5431719268206029
GBR,15,balanced_all_equity,50/50 Domestic/International Equity,1.0423809260435415,1.2408863878424574,0.12171,21.167348819705776,44.19420001307684,0.7428577171251057
GBR,15,domestic_equity,100% Domestic Equity,0.8760302544520635,0.9853054299067605,0.26052,16.008298279164734,16.262205053555164,0.6202877832528676
GBR,15,international_equity,100% International Equity,1.1027885472402186,1.3495434968333304,0.09491,24.414637568969475,63.74605214769587,0.7903918233615488
GBR,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8687435106223533,0.9598215928220349,0.24268,13.403727315563557,10.44929583512939,0.6181458773579412
GBR,15,target_date_fund,Target-Date Fund (glide path),0.9405905304003259,1.0498508533049433,0.22149,16.388723249137158,9.636313630979853,0.6770237267903415
GBR,15,bills_only,100% Bills (cash),0.7388229111238365,0.7661159767741372,0.55911,6.395248516794309,0.0,0.5396209714012511
ITA,15,balanced_all_equity,50/50 Domestic/International Equity,1.067489480905492,1.272355635078464,0.10352,21.602258991099525,48.43728932487991,0.75989060068304
ITA,15,domestic_equity,100% Domestic Equity,0.8922318455835248,1.006490891574197,0.24054,16.455640339289975,18.775809049598987,0.6313786375214044
ITA,15,international_equity,100% International Equity,1.144998087666058,1.407637653316015,0.0726,24.87364051045513,69.84098546389211,0.8168095297660143
ITA,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8801979644382916,0.9741680861868428,0.22863,13.550966590953983,11.074439204019251,0.6271015236189597
ITA,15,target_date_fund,Target-Date Fund (glide path),0.9562518264357641,1.067208389533416,0.20851,16.60852211847661,10.03233075981385,0.6896083928383566
ITA,15,bills_only,100% Bills (cash),0.7415039052566998,0.7689045272032375,0.56042,6.405528476251343,0.0,0.5418263264999207
JPN,15,balanced_all_equity,50/50 Domestic/International Equity,1.0266021905869331,1.214915812181406,0.13273,20.721647542727325,41.30714939133193,0.7325099293101912
JPN,15,domestic_equity,100% Domestic Equity,0.8761650683844379,0.9849207908365738,0.25966,15.81903875216991,15.846925944398055,0.621312467590026
JPN,15,international_equity,100% International Equity,1.0909564856913032,1.3291685713496553,0.09988,23.79074539069603,58.36520775651821,0.7803177419190758
JPN,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8641903436952845,0.9543590115448596,0.25174,13.149208532221895,9.587939130078352,0.6162847347927617
JPN,15,target_date_fund,Target-Date Fund (glide path),0.9311467256202993,1.0372011503867407,0.23573,16.050791029246327,8.731744935499021,0.6712192765325296
JPN,15,bills_only,100% Bills (cash),0.7376487121193336,0.7649787866547578,0.56496,6.354488406390125,0.0,0.5389071309960444
NLD,15,balanced_all_equity,50/50 Domestic/International Equity,1.0465281657252272,1.2454899868007123,0.11707,21.16878136786076,44.76779452921792,0.7478638368526951
NLD,15,domestic_equity,100% Domestic Equity,0.8776004658507472,0.9870421869490225,0.25614,15.994349572911457,16.549896144989717,0.6222059712350253
NLD,15,international_equity,100% International Equity,1.1097986387162837,1.3588394072703394,0.08926,24.394572362353678,64.38038492460876,0.7945563415254573
NLD,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8667474562296491,0.9579071011251905,0.24507,13.33320670999368,10.271528537082059,0.617787730050162
NLD,15,target_date_fund,Target-Date Fund (glide path),0.939405806457485,1.0492801284171351,0.22481,16.369310148959542,9.52539171565061,0.6781902540724088
NLD,15,bills_only,100% Bills (cash),0.7386350284366974,0.7661073097510877,0.55895,6.400171415621962,0.0,0.5395963428983407
NOR,15,balanced_all_equity,50/50 Domestic/International Equity,1.0547612779690232,1.2600224320616698,0.11406,21.704020824022916,47.76327014419765,0.7552023969658532
NOR,15,domestic_equity,100% Domestic Equity,0.8833308350216992,0.9964059999561292,0.2494,16.365514098123626,18.103250524412985,0.6266052025463035
NOR,15,international_equity,100% International Equity,1.1166620355230459,1.3706525287987321,0.0883,24.909378969483512,68.18469773267762,0.7988964446102524
NOR,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8723822089240266,0.9655640261415969,0.23435,13.480406978394594,10.897347725673477,0.621736320748911
NOR,15,target_date_fund,Target-Date Fund (glide path),0.9472901078091758,1.0592850241246983,0.21435,16.66449527511947,10.069670781134825,0.6845292268995031
NOR,15,bills_only,100% Bills (cash),0.7400257886235497,0.7674084338627627,0.55439,6.433303485007945,0.0,0.5404955626043783
PRT,15,balanced_all_equity,50/50 Domestic/International Equity,1.0787748966566368,1.2969334087986544,0.10003,22.472101875501654,53.042614246475424,0.7704230925243251
PRT,15,domestic_equity,100% Domestic Equity,0.9015556894843904,1.0264422666669257,0.23352,16.827285071158634,19.996709891359487,0.6411782809445667
PRT,15,international_equity,100% International Equity,1.136874775475031,1.4018692799587957,0.07789,25.815037872075706,75.56650470232967,0.8131006700844293
PRT,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8852369073412188,0.9839174953786112,0.22455,13.685761107231258,11.684440645071827,0.6323682729698109
PRT,15,target_date_fund,Target-Date Fund (glide path),0.9639029532951443,1.0806846913309807,0.20444,17.06053414397508,10.779976758858407,0.6971870804452107
PRT,15,bills_only,100% Bills (cash),0.7434852276438499,0.77119924701447,0.55118,6.489174721727465,0.0,0.5430514305376707
SWE,15,balanced_all_equity,50/50 Domestic/International Equity,1.0442445432595404,1.2390794863515195,0.11837,20.96719909760298,42.976380145651916,0.7449760857387264
SWE,15,domestic_equity,100% Domestic Equity,0.8765443625148822,0.9849163681105552,0.26018,15.74016093558452,15.568195243747187,0.6214966077098609
SWE,15,international_equity,100% International Equity,1.1025327852088016,1.3459306981143413,0.0919,24.150741425538683,61.84678777264556,0.7900043194168379
SWE,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.865699233913011,0.9554214204423992,0.24736,13.154488621033853,9.7568702212963,0.6168576885186895
SWE,15,target_date_fund,Target-Date Fund (glide path),0.9374161858516064,1.0449460016156256,0.22674,16.171981610113598,9.135408143973812,0.6762439173257985
SWE,15,bills_only,100% Bills (cash),0.7373160861867059,0.7647543849560913,0.56287,6.362185106581621,0.0,0.5386280342482053
USA,15,balanced_all_equity,50/50 Domestic/International Equity,1.036183995969129,1.2295789813960503,0.12354,20.784032899889745,41.84041989573289,0.7403846448429894
USA,15,domestic_equity,100% Domestic Equity,0.8713061680706311,0.9794104111831355,0.26598,15.557489554001009,14.615928255266143,0.6185658523543174
USA,15,international_equity,100% International Equity,1.1002320588711976,1.3421939239847673,0.09388,24.047441160806464,61.80511597862217,0.7886762230601913
USA,15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8622560985810249,0.9520518138178433,0.25269,13.041473037617122,9.348720426719217,0.6149832966530712
USA,15,target_date_fund,Target-Date Fund (glide path),0.9335712128669911,1.0411455558148233,0.23194,16.054762175806637,8.946507738040076,0.6742844938281741
USA,15,bills_only,100% Bills (cash),0.7365121099494386,0.763762856156573,0.57104,6.334198887755759,0.0,0.5382763033406768
