weighting,label,year,markets,herfindahl,effective_markets,largest_share,largest_market,top3_share
gdp,Real GDP,1989,16,0.22607132203670924,4.423382811189209,0.42099570197409936,USA,0.6577376470824118
gdp,Real GDP,1990,16,0.2255097827769338,4.434397424741277,0.419826299230387,USA,0.6580604574953799
gdp,Real GDP,1991,16,0.22505065731828588,4.443444031295205,0.41807754398197616,USA,0.6592499288002082
gdp,Real GDP,1992,16,0.21686925352833647,4.611073186865276,0.4047613362798679,USA,0.6655587285344271
gdp,Real GDP,1993,16,0.22016207034758384,4.542108449567341,0.41001728926180864,USA,0.6689699588275956
gdp,Real GDP,1994,16,0.2245729318965523,4.452896400090826,0.4168144212778126,USA,0.6722677426705028
gdp,Real GDP,1995,16,0.22667915725552948,4.411521606605967,0.420834466513277,USA,0.6723660785904791
gdp,Real GDP,1996,16,0.2265207091347497,4.414607405299676,0.42098282814224974,USA,0.6711613592006582
gdp,Real GDP,1997,16,0.22913533601943692,4.364233022161073,0.42483598497369945,USA,0.6731584237995046
gdp,Real GDP,1998,16,0.2313332097262763,4.32276888036631,0.428769417884184,USA,0.6727180851967139
gdp,Real GDP,1999,16,0.23464898199929402,4.261684800332987,0.4352535842695613,USA,0.6710403117583584
gdp,Real GDP,2000,16,0.23854411175275433,4.192096768401803,0.4417063016982561,USA,0.6713465309187747
gdp,Real GDP,2001,16,0.23931544095726345,4.178585368332244,0.4432180002827586,USA,0.6704439412246015
gdp,Real GDP,2002,16,0.2379870320870536,4.2019096218411125,0.44188655249958275,USA,0.6675360097591756
gdp,Real GDP,2003,16,0.2392272200290103,4.180126324582685,0.4439113959962792,USA,0.6670311702341429
gdp,Real GDP,2004,16,0.2412621734751616,4.1448685701364285,0.4466628677352335,USA,0.66770601554831
gdp,Real GDP,2005,16,0.24327798530755473,4.110524011187403,0.4495339485969802,USA,0.6684192439153818
gdp,Real GDP,2006,16,0.24556352203567172,4.072266074823341,0.45284063880152287,USA,0.6690150907038241
gdp,Real GDP,2007,16,0.24555160032219936,4.072463786380764,0.45315818854163775,USA,0.6685045207527578
gdp,Real GDP,2008,16,0.2440349109106092,4.097774356416994,0.4514334340782614,USA,0.6665702379598694
gdp,Real GDP,2009,16,0.24356795632726996,4.105630375517666,0.4512029856749718,USA,0.6661623565453875
gdp,Real GDP,2010,16,0.2446283992457306,4.087832823512426,0.45320290783682826,USA,0.6647885836719303
gdp,Real GDP,2011,16,0.24475141269989523,4.085778255450405,0.4528403484070794,USA,0.6677675816053736
gdp,Real GDP,2012,16,0.24494643729379217,4.082525188151996,0.4533309349401458,USA,0.6680200994863706
gdp,Real GDP,2013,16,0.2490084478965735,4.015928007451993,0.458232585728147,USA,0.6725453535527224
gdp,Real GDP,2014,16,0.25124799393363667,3.9801312812238203,0.46073199392625297,USA,0.6752848329122737
gdp,Real GDP,2015,16,0.25282889314679985,3.955244147746084,0.46298569772548215,USA,0.6759261852937567
gdp,Real GDP,2016,16,0.25442405312328886,3.930445992523434,0.46516268941234495,USA,0.6766587594186605
gdp,Real GDP,2017,16,0.2543139129888071,3.932148218898319,0.465281996152954,USA,0.6761096875566276
gdp,Real GDP,2018,16,0.25434054959472413,3.9317364124337937,0.46545969360427697,USA,0.6759735289872447
gdp,Real GDP,2019,16,0.2570675714863394,3.89002780171026,0.4691925313826646,USA,0.6769526541279123
gdp,Real GDP,2020,16,0.2591433130546551,3.8588686245170183,0.47207870241418004,USA,0.6772968835236295
pop,Population,1890,12,0.14906567699533124,6.708452409412263,0.2199577931866144,USA,0.5339055489545833
pop,Population,1891,12,0.14949746683803966,6.6890765519349245,0.22201802041940089,USA,0.5352744974940464
pop,Population,1892,12,0.14991517076482896,6.670438988250856,0.22436124480002223,USA,0.537391225840504
pop,Population,1893,12,0.1503516256663885,6.651075407850097,0.22663732939113693,USA,0.5393646646268092
pop,Population,1894,12,0.15079676938945208,6.6314418010996725,0.22884032812553184,USA,0.5412369379488751
pop,Population,1895,12,0.15121541795106117,6.613082273949318,0.23087572505507387,USA,0.5430923556795139
pop,Population,1896,13,0.14920052741999643,6.702389175776976,0.23081709403291004,USA,0.5406924545865195
pop,Population,1897,13,0.14962144680848288,6.6835338203888055,0.23251816971954115,USA,0.5427634964673483
pop,Population,1898,13,0.15001771458821306,6.66587944460374,0.2340359913775704,USA,0.5446759726471989
pop,Population,1899,13,0.1504156455617892,6.648244577650735,0.23545026140751907,USA,0.5467554544865623
pop,Population,1900,16,0.13145014050531953,7.607447174691547,0.21847119780500526,USA,0.5061371126519522
pop,Population,1901,16,0.13184256100453517,7.584804120769481,0.21988183981670428,USA,0.5081480802874812
pop,Population,1902,16,0.13230957803788268,7.55803181318953,0.22160299731172528,USA,0.5104880878910615
pop,Population,1903,16,0.13278378213167114,7.531040191402135,0.22331532143474747,USA,0.5128167753960475
pop,Population,1904,16,0.1332006959064694,7.507468284566456,0.224789786543859,USA,0.5149065186892022
pop,Population,1905,16,0.13365217371427493,7.482108013729921,0.22640498360227432,USA,0.516950497686672
pop,Population,1906,16,0.1342290389792707,7.449952764352521,0.22837950862895548,USA,0.5191714048704398
pop,Population,1907,16,0.13471899996206307,7.422857950857714,0.23019479688745287,USA,0.5210717012440127
pop,Population,1908,16,0.13520666414975263,7.396085143350751,0.23185026188008184,USA,0.5230706918059168
