position,credit,rate,strategy,label,cec_crra_gamma5,cec_ez_gamma5_psi1.5,prob_ruin,median_wealth_at_retirement,median_bequest,p5_retirement_consumption,mean_retirement_consumption,n_paths
withholding only,0.0,0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
withholding only,0.0,0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
withholding only,0.0,0.15,domestic_010,10% domestic equity,1.0593924943703623,1.27098884902812,0.10967,21.148930767357022,42.95500384534872,0.7614621707803586,1.7198797364043341,100000
withholding only,0.0,0.15,domestic_020,20% domestic equity,1.0629023733970209,1.2739891164588875,0.10554,20.976244100400635,42.036585525619614,0.761212722845175,1.7060766072886326,100000
withholding only,0.0,0.15,domestic_030,30% domestic equity,1.0568114317362656,1.2624463100695127,0.10775,20.67266032143217,40.66909710957407,0.7567815714273683,1.6898614477874487,100000
withholding only,0.0,0.15,domestic_040,40% domestic equity,1.0418010929193051,1.237521600778811,0.11805,20.252568128496527,38.70684485286225,0.745853774772445,1.6713751546972115,100000
withholding only,0.0,0.15,domestic_050,50% domestic equity,1.0197211734399703,1.20212473140659,0.13286,19.751625663596137,36.33386717052788,0.7295381642979953,1.6509849381792114,100000
withholding only,0.0,0.15,domestic_060,60% domestic equity,0.993509988561567,1.1607279191382651,0.15132,19.19068652920422,33.08940246513852,0.7117392387839033,1.6289327809928933,100000
withholding only,0.0,0.15,domestic_070,70% domestic equity,0.9654546483537592,1.1172403607539514,0.17243,18.53171818707444,29.406992702192074,0.6912717983927528,1.605648026237592,100000
withholding only,0.0,0.15,domestic_080,80% domestic equity,0.9371403630587917,1.0741666267187946,0.19579,17.798018785272173,25.331626909211945,0.6694342196292303,1.5810832871151803,100000
withholding only,0.0,0.15,domestic_090,90% domestic equity,0.9090874169254576,1.0327557072857885,0.22347,16.965228114518965,20.955610052780226,0.6479168741100008,1.5549146739081743,100000
withholding only,0.0,0.15,domestic_100,100% domestic equity,0.8817855922986605,0.9936571805443004,0.2538,16.0819016652959,16.667399047289898,0.6270354299061549,1.5266692298407818,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,balanced_all_equity,50/50 Domestic/International Equity,0.9958108077458213,1.1639038284102246,0.14865,18.498836556989637,29.537458365985685,0.7139399798121209,1.5824917874605122,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_equity,100% Domestic Equity,0.8553264713866887,0.9541772845523746,0.28726,14.158463308441833,10.280227870906273,0.6103158219733723,1.407477114671067,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,international_equity,100% International Equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,sixty_forty,60/40 Domestic Equity/Domestic Bonds,0.8535166086998033,0.937883230345341,0.26606,12.382012736593085,7.539303891821756,0.6113821580327207,1.240950258431878,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,target_date_fund,Target-Date Fund (glide path),0.915914494938552,1.0141134391942457,0.24417,14.853900567286939,7.16985021785259,0.6625973638347998,1.3447709022402397,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,bills_only,100% Bills (cash),0.738999359783288,0.7664522001573014,0.56357,6.395067469984038,0.0,0.5405300135722927,0.908272012393883,100000
"a taxed fund, nothing franked",-0.15000000000000002,0.15,domestic_000,0% domestic equity,1.0469930412547468,1.2543883052114682,0.12122,21.226082774301712,42.796109565028544,0.7529089180806426,1.731495329536707,100000
