year,iso,tier,dom_eq,intl_eq,bond,bill,inflation,real_exchange_rate,available,provenance,country
1916,ITA,A,-0.07205713140497538,0.1017045251704527,-0.15987758891391257,,0.2514049430762082,0.8030418399523818,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Italy
1916,JPN,A,0.8096396747994539,0.05651899748559486,-0.025590038594704323,-0.043295846519550873,0.08037578288100211,0.861842236819377,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Japan
1916,NLD,A,0.09549562071332174,0.09709966272288129,-0.008246622068058707,-0.08503125228273833,0.11304348148401666,1.0298518305829092,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Netherlands
1916,NOR,A,0.1134143337372564,0.039026218956317305,-0.1153391400203293,-0.1269963726126473,0.19174762370696397,1.2416936477574991,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Norway
1916,PRT,A,-0.0744482792206923,0.08224441760187062,-0.13243169680128997,-0.13751824841882176,0.2232142857142856,0.6823551065094624,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Portugal
1916,SWE,A,0.17319050775124478,0.0745875577965005,-0.06314526154444766,-0.07823076973167742,0.13043478260869557,1.1799588665162792,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Sweden
1916,USA,A,0.012619520409391516,0.1787224728888679,-0.04283774985906186,-0.040963302614218655,0.07920792079207928,0.8195106945218605,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,United States
1917,AUS,A,0.08355670804151316,0.03406535441018588,-0.013065133906578708,-0.027328650064889937,0.06593406013766523,0.7285347732590505,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Australia
1917,BEL,A,-0.440443260350211,-0.347450723441023,,,0.9343657817109146,1.7677058529546292,False,JST/JKKST empirical 1890-2020; inflation 100% empirical,Belgium
1917,CHE,A,-0.23371074737664532,-0.20412419086082845,-0.20574423955412102,-0.1834621812267896,0.2761197037992511,1.1611325507871209,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Switzerland
1917,DEU,A,-0.177517713672244,-0.11459390595517305,-0.31230529776179383,-0.3024666670246646,0.5000000028377558,1.0199031294335619,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Germany
1917,DNK,A,-0.08783726887416621,-0.09641350583135688,-0.13251533212659206,-0.09417599238378149,0.15662644206279297,1.1406892708667145,True,JST/JKKST empirical 1890-2020; inflation 100% empirical,Denmark
1917,ESP,A,-0.011835469433946644,-0.19928719620132662,-0.09019806232890659,-0.10329114401072736,0.1653726790009986,1.1324521342682101,True,JST/JKKST empirical 1900-2020; inflation 100% empirical,Spain
